"","season","athlete_id","name","position","team","conference","avg_PPA_all","avg_PPA_pass","avg_PPA_rush","avg_PPA_first_down","avg_PPA_second_down","avg_PPA_third_down","avg_PPA_standard_downs","avg_PPA_passing_downs","total_PPA_all","total_PPA_pass","total_PPA_rush","total_PPA_first_down","total_PPA_second_down","total_PPA_third_down","total_PPA_standard_downs","total_PPA_passing_downs","countable_plays"
"106",2021,"4036419","Skylar John Thompson","QB","Kansas State","B12",0.431,0.427,0.468,0.045,0.223,0.947,0.267,0.634,106.921,94.744,12.176,4.067,18.061,62.533,36.577,70.344,NA
"107",2021,"4036427","Jacob Huesman","QB","App State","SBC",-0.064,-0.043,-0.21,0.557,0.233,-0.78,0.353,-0.758,-1.528,-0.898,-0.63,3.9,2.098,-3.902,5.297,-6.825,NA
"108",2021,"4036436","Marcus Williams Jr.","RB","Louisiana Tech","CUSA",0.109,0.935,0.006,-0.011,0.297,0.055,-0.017,0.536,18.704,17.771,0.933,-0.962,20.79,0.828,-2.199,20.903,NA
"109",2021,"4036448","Jalen Virgil","WR","App State","SBC",0.52,0.603,-0.354,0.227,0.424,1.416,0.643,0.17,11.953,12.66,-0.707,3.176,1.697,7.08,10.931,1.022,NA
"110",2021,"4036473","Logan Bonner","QB","Utah State","MWC",0.442,0.487,0.02,0.252,0.356,0.887,0.379,0.525,192.584,191.752,0.832,39.744,50.852,108.16,94.488,98.096,NA
"111",2021,"4036475","Brandon Bowling","WR","Utah State","MWC",1.237,1.237,NA,1.178,0.671,2.151,1.058,1.437,70.533,70.533,0,17.675,15.437,38.717,31.744,38.79,NA
"112",2021,"4036650","Shai Werts","WR","Louisville","ACC",-0.393,-0.096,-1.286,-0.089,-0.729,-0.025,-0.304,-0.482,-3.145,-0.573,-2.572,-0.177,-2.918,-0.049,-1.217,-1.928,NA
"113",2021,"4036788","Jaxson Kincaide","RB","Western Michigan","MAC",0.176,-0.23,0.195,0.228,0.103,0.15,0.179,0.155,15.306,-0.918,16.224,11.172,3.387,0.748,13.445,1.861,NA
"114",2021,"4037217","Brandon Chapman","TE","Wake Forest","ACC",1.429,1.429,NA,NA,0.895,1.648,1.353,1.483,17.147,17.147,0,0,3.581,11.533,6.763,10.384,NA
"115",2021,"4037293","Lucas Johnson","QB","San Diego State","MWC",0.252,0.225,0.435,0.038,0.459,0.32,0.186,0.35,66.401,51.19,15.211,3.992,40.812,20.829,29.252,37.149,NA
"116",2021,"4037377","CJ Windham","WR","Middle Tennessee","CUSA",0.19,0.19,NA,0.131,0.328,0.584,0.22,0.136,7.408,7.408,0,1.96,3.604,6.421,5.498,1.911,NA
"117",2021,"4037378","Reginald Henderson","WR","Chattanooga","",0.29,0.29,NA,0.098,0.673,0.329,0.25,0.37,4.351,4.351,0,0.688,2.02,1.643,2.5,1.851,NA
"118",2021,"4037405","Isaiah Totten","RB","North Carolina Central","",-0.599,-0.744,-0.453,-0.453,-0.744,NA,-0.453,-0.744,-1.197,-0.744,-0.453,-0.453,-0.744,0,-0.453,-0.744,NA
"119",2021,"4037433","Jake Herslow","WR","Houston","AAC",1.267,1.267,NA,1.238,0.889,1.662,0.939,1.5,51.951,51.951,0,11.14,14.224,26.586,15.96,35.99,NA
